Sequence,EventName,ClientComponent,ClientFunction,ServerComponent,ServerFunction,RelationshipType,EventTimestamp
79,as_string,/extern/cpp_redis/sources/core/types.cpp,xmessage,/extern/cpp_redis/includes/cpp_redis/core/reply.hpp,as_string,Command,2026-05-22T12:42:09.503085Z
80,set_id,/extern/cpp_redis/sources/core/types.cpp,xmessage,/extern/cpp_redis/includes/cpp_redis/impl/types.hpp,set_id,Command,2026-05-22T12:42:09.504085Z
81,connect,/extern/cpp_redis/sources/network/tcp_client.cpp,connect,/extern/cpp_redis/tacopie/includes/tacopie/network/tcp_client.hpp,connect,Command,2026-05-22T12:42:09.505085Z
82,joinHandler,/include/cpsCore/Utilities/SignalHandler/SignalHandler.h,~SignalHandlerSingleton,/include/cpsCore/Utilities/SignalHandler/SignalHandler.h,joinHandler,Command,2026-05-22T12:42:09.506085Z
83,commit,/src/Utilities/IDC/NetworkLayer/Redis/RedisSubscriber.cpp,start,/extern/cpp_redis/includes/cpp_redis/core/subscriber.hpp,commit,Command,2026-05-22T12:42:09.507085Z
84,stream,/include/cpsCore/Framework/StaticFactory.h,create,/include/cpsCore/Logging/CPSLogger.h,stream,Command,2026-05-22T12:42:09.508085Z
85,getStart,/src/Utilities/IPC/detail/MessageQueuePublisherImpl.cpp,publish,/include/cpsCore/Utilities/Packet.h,getStart,Command,2026-05-22T12:42:09.509085Z
86,complete,/tests/Utilities/EnumMap.cpp,C_A_T_C_H_T_E_S_T_0,/extern/Catch2/single_include/catch2/catch.hpp,complete,Command,2026-05-22T12:42:09.510085Z
87,handleExpr,/tests/Utilities/EnumMap.cpp,C_A_T_C_H_T_E_S_T_0,/extern/Catch2/single_include/catch2/catch.hpp,handleExpr,Command,2026-05-22T12:42:09.511085Z
88,dispatch_thread_handler,/extern/cpp_redis/sources/misc/dispatch_queue.cpp,dispatch_queue,/extern/cpp_redis/includes/cpp_redis/misc/dispatch_queue.hpp,dispatch_thread_handler,Command,2026-05-22T12:42:09.512085Z
89,publish,/src/Utilities/IDC/NetworkLayer/Redis/RedisPublisher.cpp,publish,/extern/cpp_redis/includes/cpp_redis/core/client.hpp,publish,Command,2026-05-22T12:42:09.513085Z
90,getBuffer,/src/Utilities/IDC/NetworkLayer/Redis/RedisPublisher.cpp,publish,/include/cpsCore/Utilities/Packet.h,getBuffer,Command,2026-05-22T12:42:09.514085Z
91,serialize,/tests/Utilities/AngleTest.cpp,C_A_T_C_H_T_E_S_T_2,/include/cpsCore/Utilities/DataPresentation/BinarySerialization.hpp,serialize,Command,2026-05-22T12:42:09.515085Z
